Edad,Zona,Estado Civil,Provincia,Fecha Infracción,Canton,Hora Infraccion,Circuito,Nacionalidad,tipo_muert_matriz,_id,Distrito,Sexo,lat,lon
20,ZONA 5,SOLTERO,LOS_RIOS,2014-06-05T00:00:00,SAN_JACINTO_DE_BUENA_FE,2015-12-02T20:31:00,BUENA FE ESTE,ECUADOR,Asesinatos,18,BUENA FE,MASCULINO,-0.8905638667,-79.5532562729
13,ZONA 5,SOLTERO,LOS_RIOS,2014-01-14T00:00:00,QUEVEDO,2015-12-02T11:16:00,GALO PLAZA,ECUADOR,Asesinatos,19,QUEVEDO,MASCULINO,-1.0288092994,-79.4171053683
31,ZONA 2,SOLTERO,ORELLANA,2014-01-26T00:00:00,PUERTO_FRANCISCO_DE_ORELLANA,2015-12-02T05:00:00,NUEVO PARAISO,ECUADOR,Asesinatos,20,ORELLANA LORETO,MASCULINO,-0.6903641202,-77.2137682597
59,ZONA 9,CASADO,PICHINCHA,2014-07-05T00:00:00,QUITO,2015-12-02T17:45:00,ITCHIMBIA,ECUADOR,Homicidios,21,MANUELA SAENZ,MASCULINO,-0.1644013765,-78.3816185633
32,ZONA 9,SOLTERO,PICHINCHA,2014-08-05T00:00:00,QUITO,2015-12-02T14:00:00,SAN JUAN,ECUADOR,Homicidios,22,MANUELA SAENZ,MASCULINO,-0.1745083583,-78.5414137205
30,ZONA 1,SOLTERO,SUCUMBIOS,2014-08-05T00:00:00,SHUSHUFINDI,2015-12-02T19:20:00,SHUSHUFINDI CENTRO,ECUADOR,Homicidios,23,SHUSHUFINDI,MASCULINO,-0.1477971282,-76.2491179881
23,ZONA 8,SOLTERO,GUAYAS,2014-08-05T00:00:00,GUAYAQUIL,2015-12-02T22:45:00,CHILE,ECUADOR,Homicidios,24,9 DE OCTUBRE,MASCULINO,-2.1181544458,-79.6378616916
19,ZONA 9,SOLTERO,PICHINCHA,2014-08-05T00:00:00,QUITO,2015-12-02T23:00:00,LA ROLDOS,ECUADOR,Homicidios,25,LA DELICIA,FEMENINO,0.1454058056,-78.894112406
27,ZONA 5,SOLTERO,LOS_RIOS,2014-09-05T00:00:00,QUEVEDO,2015-12-02T11:30:00,CONTROL,ECUADOR,Asesinatos,26,QUEVEDO,MASCULINO,-1.0313134308,-79.5423055612
41,ZONA 1,SOLTERO,ESMERALDAS,2014-10-05T00:00:00,ESMERALDAS,2015-12-02T02:30:00,GUACHARACA,ECUADOR,Asesinatos,27,ESMERALDAS,FEMENINO,0.9754943587,-79.6612205203
20,ZONA 8,SOLTERO,GUAYAS,2014-09-05T00:00:00,GUAYAQUIL,2015-12-02T15:30:00,MARTHA DE ROLDOS,ECUADOR,Asesinatos,28,FLORIDA,FEMENINO,0.3567951741,-78.0762668572
3,ZONA 8,SOLTERO,GUAYAS,2014-09-05T00:00:00,GUAYAQUIL,2015-12-02T15:30:00,MARTHA DE ROLDOS,ECUADOR,Homicidios,29,FLORIDA,FEMENINO,0.3681748652,-78.0319494694
24,ZONA 6,SOLTERO,AZUAY,2014-10-05T00:00:00,CUENCA,2015-12-02T03:00:00,MOLLETURO,ECUADOR,Asesinatos,30,CUENCA SUR,MASCULINO,-2.9254847837,-78.9759217681
17,ZONA 8,SOLTERO,GUAYAS,2014-09-05T00:00:00,GUAYAQUIL,2015-12-02T12:00:00,MONTE SINAI,ECUADOR,Homicidios,31,NUEVA PROSPERINA,MASCULINO,-2.1311207549,-79.9744930879
32,ZONA 1,SOLTERO,ESMERALDAS,2014-10-05T00:00:00,QUININDE,2015-12-02T23:45:00,ROSA ZARATE,ECUADOR,Asesinatos,32,QUININDE,MASCULINO,0.3274396532,-79.2673645576
24,ZONA 9,SOLTERO,PICHINCHA,2014-11-05T00:00:00,QUITO,2015-12-02T04:20:00,CHILIBULO,ECUADOR,Homicidios,33,ELOY ALFARO,MASCULINO,-0.2237748952,-78.4428581144
20,ZONA 8,SOLTERO,GUAYAS,2014-11-05T00:00:00,GUAYAQUIL,2015-12-02T00:20:00,FLORESTA,ECUADOR,Asesinatos,34,SUR,MASCULINO,0.3810962614,-78.0489349325
26,ZONA 5,SOLTERO,GUAYAS,2014-10-05T00:00:00,EL_TRIUNFO,2015-12-02T16:30:00,EL TRIUNFO CENTRO,ECUADOR,Asesinatos,35,EL TRIUNFO BUCAY,MASCULINO,-1.9807774618,-79.7188361538
35,ZONA 8,SOLTERO,GUAYAS,2014-11-05T00:00:00,GUAYAQUIL,2015-12-02T02:30:00,GUASMO,ECUADOR,Asesinatos,36,SUR,MASCULINO,0.36828569,-78.3168533555
35,ZONA 8,CASADO,GUAYAS,2014-10-05T00:00:00,GUAYAQUIL,2015-12-02T23:40:00,GUASMO,ECUADOR,Asesinatos,37,SUR,MASCULINO,0.3595973634,-78.0330602942
39,ZONA 5,DIVORCIADO,SANTA_ELENA,2014-11-05T00:00:00,SANTA_ELENA,2015-12-02T14:40:00,SANTA ELENA CENTRO,ECUADOR,Homicidios,38,SANTA ELENA,MASCULINO,-2.2566253748,-80.584986985
30,ZONA 8,SOLTERO,GUAYAS,2014-11-05T00:00:00,GUAYAQUIL,2015-12-02T12:30:00,SUBURBIO,ECUADOR,Homicidios,39,PORTETE,MASCULINO,-2.1152555524,-79.5378487429
19,ZONA 8,SOLTERO,GUAYAS,2014-11-05T00:00:00,GUAYAQUIL,2015-12-02T23:16:00,7 LAGOS,ECUADOR,Homicidios,40,SUR,MASCULINO,0.3503832637,-78.2936364607
42,ZONA 1,SOLTERO,ESMERALDAS,2014-11-05T00:00:00,ESMERALDAS,2015-12-02T08:01:00,LA TOLITA,ECUADOR,Asesinatos,41,ESMERALDAS,MASCULINO,0.9741970262,-79.6259257431
30,ZONA 5,SOLTERO,LOS_RIOS,2014-12-05T00:00:00,BABA,2015-12-02T22:30:00,BABA,ECUADOR,Asesinatos,42,BABAHOYO,MASCULINO,-1.7876020559,-79.5719425025
77,ZONA 2,SOLTERO,NAPO,2014-11-02T00:00:00,TENA,2015-12-02T01:00:00,AHUANO,ECUADOR,Asesinatos,43,TENA,MASCULINO,-1.0109072225,-77.9692889667
25,ZONA 9,CASADO,PICHINCHA,2014-12-05T00:00:00,QUITO,2015-12-02T07:30:00,MONJAS COLLACOTO,ECUADOR,Homicidios,44,MANUELA SAENZ,FEMENINO,-0.1628833482,-78.3387788871
55,ZONA 5,SOLTERO,GUAYAS,2014-12-05T00:00:00,SIMON_BOLIVAR,2015-12-02T07:30:00,LORENZO DE GARAICOA,ECUADOR,Asesinatos,45,JUJAN SIMON BOLIVAR,MASCULINO,-2.1065675606,-79.5767154574
52,ZONA 4,CASADO,SANTO_DOMINGO_DE_LOS_TSACHILAS,2014-05-13T00:00:00,SANTO_DOMINGO,2015-12-02T23:50:00,SANTA MARTHA SUR,ECUADOR,Homicidios,46,SANTO DOMINGO ESTE,FEMENINO,-0.2371661695,-79.1857129959
21,ZONA 9,SOLTERO,PICHINCHA,2014-05-15T00:00:00,QUITO,2015-12-02T12:10:00,COLINAS DEL NORTE,ECUADOR,Homicidios,47,LA DELICIA,MASCULINO,0.1556365871,-78.7956520544
23,ZONA 8,SOLTERO,GUAYAS,2014-05-15T00:00:00,GUAYAQUIL,2015-12-02T11:30:00,ESTEROS,ECUADOR,Homicidios,48,ESTEROS,MASCULINO,-2.6486533637,-80.3431837237
32,ZONA 5,SOLTERO,LOS_RIOS,2014-05-15T00:00:00,QUEVEDO,2015-12-02T20:50:00,LA MERCED,ECUADOR,Asesinatos,49,QUEVEDO,MASCULINO,-1.0305430822,-79.3622388389
29,ZONA 5,SOLTERO,LOS_RIOS,2014-05-16T00:00:00,PALENQUE,2015-12-02T06:00:00,JAUNECHE,ECUADOR,Asesinatos,50,VINCES,MASCULINO,-1.5642367272,-79.6646627968
42,ZONA 5,SOLTERO,GUAYAS,2014-05-16T00:00:00,MILAGRO,2015-12-02T11:00:00,MARISCAL SUCRE,ECUADOR,Asesinatos,51,MILAGRO,FEMENINO,-2.1389584335,-79.5893892384
26,ZONA 3,SOLTERO,TUNGURAHUA,2014-05-16T00:00:00,AMBATO,2015-12-02T10:30:00,LA MATRIZ,ECUADOR,Asesinatos,52,AMBATO NORTE,FEMENINO,-1.2641971081,-78.6105698802
34,ZONA 1,SOLTERO,ESMERALDAS,2014-05-17T00:00:00,SAN_LORENZO,2015-12-02T15:50:00,CARONDELET,ECUADOR,Asesinatos,53,SAN LORENZO,MASCULINO,1.283192859,-78.7704587712
32,ZONA 7,SOLTERO,EL_ORO,2014-05-18T00:00:00,PASAJE,2015-12-02T02:15:00,BUENA VISTA,ECUADOR,Asesinatos,54,PASAJE,MASCULINO,-3.3278104997,-79.796015719
28,ZONA 5,SOLTERO,LOS_RIOS,2014-05-18T00:00:00,VINCES,2015-12-02T20:45:00,VINCES SUR,ECUADOR,Asesinatos,55,VINCES,MASCULINO,-1.5596142292,-79.661087904
20,ZONA 5,SOLTERO,LOS_RIOS,2014-05-18T00:00:00,QUEVEDO,2015-12-02T21:30:00,GALO PLAZA,ECUADOR,Asesinatos,56,QUEVEDO,MASCULINO,-1.0296358424,-79.5244553532
24,ZONA 9,SOLTERO,PICHINCHA,2014-05-18T00:00:00,QUITO,2015-12-02T04:00:00,CARCELEN,ECUADOR,Homicidios,57,LA DELICIA,FEMENINO,0.1534160545,-78.7143506831
35,ZONA 9,CASADO,PICHINCHA,2014-05-19T00:00:00,QUITO,2015-12-02T04:00:00,CARCELEN,ECUADOR,Homicidios,58,LA DELICIA,FEMENINO,0.1422112733,-78.8864329946
8,ZONA 9,SOLTERO,PICHINCHA,2014-05-18T00:00:00,QUITO,2015-12-02T04:00:00,CARCELEN,ECUADOR,Homicidios,59,LA DELICIA,FEMENINO,0.1450436356,-78.7558143616
5,ZONA 9,SOLTERO,PICHINCHA,2014-05-18T00:00:00,QUITO,2015-12-02T04:00:00,CARCELEN,ECUADOR,Homicidios,60,LA DELICIA,FEMENINO,0.1580116887,-78.6970569525
20,ZONA 9,SOLTERO,PICHINCHA,2014-05-18T00:00:00,QUITO,2015-12-02T12:30:00,LA MARISCAL,ECUADOR,Homicidios,61,EUGENIO ESPEJO,MASCULINO,-0.1699317422,-78.511255646
25,ZONA 6,SOLTERO,CANAR,2014-01-22T00:00:00,LA_TRONCAL,2015-12-02T01:00:00,TRONCAL CENTRO,ECUADOR,Homicidios,62,LA TRONCAL,MASCULINO,-2.420499337,-79.2609869552
20,ZONA 5,SOLTERO,LOS_RIOS,2014-05-19T00:00:00,QUEVEDO,2015-12-02T14:40:00,GALO PLAZA,ECUADOR,Asesinatos,63,QUEVEDO,MASCULINO,-1.0165466079,-79.3986689857
62,ZONA 4,CASADO,MANABI,2014-05-20T00:00:00,PORTOVIEJO,2015-12-02T04:45:00,LOS CEREZOS,ECUADOR,Homicidios,64,PORTOVIEJO,MASCULINO,-0.841826694,-79.7165044735
62,ZONA 3,DIVORCIADO,TUNGURAHUA,2014-05-20T00:00:00,AMBATO,2015-12-02T03:00:00,MIÑARICA,ECUADOR,Asesinatos,65,AMBATO SUR,FEMENINO,-1.256048239,-78.5250214508
32,ZONA 8,SOLTERO,GUAYAS,2014-05-20T00:00:00,GUAYAQUIL,2015-12-02T22:30:00,ALBORADA,ECUADOR,Sicariatos,66,MODELO,MASCULINO,-2.1782413082,-78.8878503829
37,ZONA 4,CASADO,SANTO_DOMINGO_DE_LOS_TSACHILAS,2014-05-21T00:00:00,SANTO_DOMINGO,2015-12-02T21:30:00,EL COLORADO,ECUADOR,Asesinatos,67,SANTO DOMINGO OESTE,MASCULINO,-0.2390550914,-79.1670183476
40,ZONA 8,SOLTERO,GUAYAS,2014-05-22T00:00:00,DURAN,2015-12-02T18:00:00,RECREO,ECUADOR,Asesinatos,68,DURAN,MASCULINO,-2.1586454815,-79.8302468964
63,ZONA 3,CASADO,COTOPAXI,2014-05-23T00:00:00,LATACUNGA,2015-12-02T03:00:00,GUAYTACAMA,ECUADOR,Homicidios,69,LATACUNGA,MASCULINO,-0.7568512164,-78.5187195114
27,ZONA 3,SOLTERO,CHIMBORAZO,2014-05-24T00:00:00,RIOBAMBA,2015-12-02T05:30:00,LA CONDAMINE,ECUADOR,Homicidios,70,RIOBAMBA,MASCULINO,-1.6519292414,-78.5959808609
57,ZONA 7,CASADO,EL_ORO,2014-05-24T00:00:00,SANTA_ROSA,2015-12-02T08:00:00,BELLA MARIA,ECUADOR,Asesinatos,71,SANTA ROSA,MASCULINO,-3.4579842351,-79.8939536633
42,ZONA 9,SOLTERO,PICHINCHA,2014-05-25T00:00:00,QUITO,2015-12-02T02:29:00,SOLANDA,ECUADOR,Homicidios,72,ELOY ALFARO,MASCULINO,-0.2099634725,-78.5487385148
29,ZONA 9,SOLTERO,PICHINCHA,2014-05-25T00:00:00,QUITO,2015-12-02T01:15:00,GUAYLLABAMBA,ECUADOR,Homicidios,73,CALDERON,MASCULINO,-0.0955810869,-78.3998839175
21,ZONA 6,UNION LIBRE,CANAR,2014-05-25T00:00:00,CANAR,2015-12-02T01:45:00,INGAPIRCA,ECUADOR,Homicidios,74,CANAR,MASCULINO,-2.5563089188,-78.9518551119
24,ZONA 4,SOLTERO,MANABI,2014-05-25T00:00:00,MANTA,2015-12-02T07:45:00,UNIVERSIDAD,ECUADOR,Asesinatos,75,MANTA,MASCULINO,-0.9701737425,-80.6841343338
28,ZONA 9,SOLTERO,PICHINCHA,2014-05-26T00:00:00,QUITO,2015-12-02T03:30:00,CHILIBULO,ECUADOR,Homicidios,76,ELOY ALFARO,MASCULINO,-0.1940732327,-78.5404319051
62,ZONA 5,UNION LIBRE,LOS_RIOS,2014-05-25T00:00:00,VINCES,2015-12-02T20:30:00,ANTONIO SOTOMAYOR,ECUADOR,Asesinatos,77,VINCES,MASCULINO,-1.5662757141,-79.6761172485
24,ZONA 5,SOLTERO,GUAYAS,2014-05-26T00:00:00,NARANJAL,2015-12-02T12:30:00,NARANJAL SUR,ECUADOR,Asesinatos,78,NARANJAL BALAO,MASCULINO,-1.9730822163,-79.9426713332
29,ZONA 9,UNION LIBRE,PICHINCHA,2014-05-26T00:00:00,QUITO,2015-12-02T12:30:00,MAGDALENA,ECUADOR,Homicidios,79,ELOY ALFARO,MASCULINO,-0.1946848493,-78.5977812588
54,ZONA 6,SOLTERO,CANAR,2014-04-02T00:00:00,LA_TRONCAL,2015-12-02T15:00:00,TRONCAL CENTRO,ECUADOR,Homicidios,80,LA TRONCAL,MASCULINO,-2.423548858,-79.29092436
30,ZONA 6,SOLTERO,CANAR,2014-04-24T00:00:00,LA_TRONCAL,2015-12-02T22:50:00,TRONCAL OESTE,ECUADOR,Homicidios,81,LA TRONCAL,MASCULINO,-2.4215910971,-79.3261968745
17,ZONA 6,SOLTERO,CANAR,2014-03-16T00:00:00,BIBLIAN,2015-12-02T19:45:00,BIBLIAN,ECUADOR,Homicidios,82,AZOGUES,MASCULINO,-2.7456063441,-78.9252378767
57,ZONA 1,DIVORCIADO,ESMERALDAS,2014-05-27T00:00:00,ESMERALDAS,2015-12-02T15:50:00,SAN MATEO,ECUADOR,Asesinatos,83,ESMERALDAS,MASCULINO,0.9519999662,-79.5553528721
20,ZONA 4,SOLTERO,MANABI,2014-05-27T00:00:00,PUERTO_LOPEZ,2015-12-02T12:00:00,PUERTO LOPEZ,ECUADOR,Homicidios,84,JIPIJAPA,MASCULINO,-1.3603066369,-80.6752248053
18,ZONA 9,SOLTERO,PICHINCHA,2014-05-28T00:00:00,QUITO,2015-12-02T12:30:00,LA BOTA,ECUADOR,Homicidios,85,LA DELICIA,MASCULINO,0.1455961635,-78.7752680906
43,ZONA 6,DIVORCIADO,AZUAY,2014-05-29T00:00:00,CUENCA,2015-12-02T00:31:00,TOTORACOCHA,ECUADOR,Asesinatos,86,CUENCA NORTE,FEMENINO,-2.8724284929,-79.0567984303
20,ZONA 8,SOLTERO,GUAYAS,2014-05-28T00:00:00,GUAYAQUIL,2015-12-02T21:00:00,UNION DE BANANEROS,ECUADOR,Asesinatos,87,SUR,MASCULINO,0.3517454631,-77.9974014894
76,ZONA 2,VIUDO,NAPO,2014-03-22T00:00:00,CARLOS_JULIO_AROSEMENA_TOLA,2015-12-02T12:00:00,AROSEMENA TOLA,ECUADOR,Asesinatos,88,TENA,MASCULINO,-1.0027684355,-77.7043805376
30,ZONA 7,SOLTERO,EL_ORO,2014-05-30T00:00:00,EL_GUABO,2015-12-02T00:30:00,LA IBERIA,ECUADOR,Asesinatos,89,PASAJE,FEMENINO,-3.3255509777,-79.8999583218
35,ZONA 5,CASADO,GUAYAS,2014-05-29T00:00:00,GENERAL_ANTONIO_ELIZALDE,2015-12-02T20:30:00,BUCAY,ECUADOR,Asesinatos,90,EL TRIUNFO BUCAY,MASCULINO,-1.9577232428,-79.8799989055
47,ZONA 1,CASADO,SUCUMBIOS,2014-05-31T00:00:00,SHUSHUFINDI,2015-12-02T05:30:00,SHUSHUFINDI CENTRO,ECUADOR,Asesinatos,91,SHUSHUFINDI,MASCULINO,-0.1445716985,-76.2412487534
41,ZONA 1,SOLTERO,ESMERALDAS,2014-05-30T00:00:00,QUININDE,2015-12-02T00:00:00,CUPA,ECUADOR,Asesinatos,92,QUININDE,MASCULINO,0.3240807317,-79.3806036218
27,ZONA 3,SOLTERO,COTOPAXI,2014-05-31T00:00:00,LA_MANA,2015-12-02T04:30:00,LA MANA SUR,ECUADOR,Asesinatos,93,LA MANA,MASCULINO,-0.9354269088,-79.2364301727
17,ZONA 9,SOLTERO,PICHINCHA,2014-05-31T00:00:00,QUITO,2015-12-02T22:00:00,SOLANDA,ECUADOR,Homicidios,94,ELOY ALFARO,MASCULINO,-0.2031993214,-78.5306579825
36,ZONA 9,SOLTERO,PICHINCHA,2014-05-31T00:00:00,QUITO,2015-12-02T20:30:00,POMASQUI,ECUADOR,Homicidios,95,LA DELICIA,MASCULINO,0.136282327,-78.7940915065
33,ZONA 8,SOLTERO,GUAYAS,2014-05-31T00:00:00,GUAYAQUIL,2015-12-02T03:30:00,BASTION POPULAR SUR,ECUADOR,Asesinatos,96,PASCUALES,MASCULINO,-2.0644699903,-79.9353658317
22,ZONA 1,SOLTERO,SUCUMBIOS,2014-01-06T00:00:00,LAGO_AGRIO,2015-12-02T06:30:00,SANTA CECILIA,ECUADOR,Asesinatos,97,LAGO AGRIO,MASCULINO,0.0960465662,-76.9580747859
16,ZONA 1,SOLTERO,SUCUMBIOS,2014-01-06T00:00:00,LAGO_AGRIO,2015-12-02T04:00:00,LAS PALMERAS,COLOMBIA,Asesinatos,98,LAGO AGRIO,MASCULINO,0.0887695488,-76.8827602732
36,ZONA 5,SOLTERO,GUAYAS,2014-01-06T00:00:00,BALZAR,2015-12-02T10:20:00,BALZAR SUR,ECUADOR,Asesinatos,99,BALZAR,MASCULINO,-1.3618184288,-79.9396101588
40,ZONA 8,UNION LIBRE,GUAYAS,2014-05-30T00:00:00,GUAYAQUIL,2015-12-02T23:00:00,7 LAGOS,ECUADOR,Asesinatos,100,SUR,MASCULINO,0.3786026389,-78.091653886
70,ZONA 5,DIVORCIADO,GUAYAS,2014-01-06T00:00:00,NARANJAL,2015-12-02T01:00:00,NARANJAL SUR,ECUADOR,Asesinatos,101,NARANJAL BALAO,MASCULINO,-1.9605320542,-79.8705880541
36,ZONA 9,CASADO,PICHINCHA,2014-02-06T00:00:00,QUITO,2015-12-02T09:15:00,ARGELIA,ECUADOR,Homicidios,102,ELOY ALFARO,FEMENINO,-0.2121981222,-78.4490373928
33,ZONA 1,SOLTERO,ESMERALDAS,2014-02-06T00:00:00,SAN_LORENZO,2015-12-02T06:30:00,FRONTERA,ECUADOR,Homicidios,103,SAN LORENZO,MASCULINO,1.2914725781,-78.7879218646
22,ZONA 7,SOLTERO,EL_ORO,2014-03-06T00:00:00,MACHALA,2015-12-02T01:30:00,27 DE FEBRERO,ECUADOR,Homicidios,104,MACHALA,MASCULINO,-3.2538476772,-79.9249215631
66,ZONA 7,VIUDO,EL_ORO,2014-02-06T00:00:00,MACHALA,2015-12-02T22:00:00,27 DE FEBRERO,ECUADOR,Homicidios,105,MACHALA,MASCULINO,-3.2619442216,-80.0220519314
37,ZONA 5,UNION LIBRE,GUAYAS,2014-02-06T00:00:00,SIMON_BOLIVAR,2015-12-02T20:00:00,SIMON BOLIVAR,ECUADOR,Homicidios,106,JUJAN SIMON BOLIVAR,MASCULINO,-2.1045073442,-79.5968434512
46,ZONA 1,CASADO,SUCUMBIOS,2014-03-06T00:00:00,LAGO_AGRIO,2015-12-02T14:00:00,GENERAL FARFAN,COLOMBIA,Homicidios,107,LAGO AGRIO,MASCULINO,0.1072979273,-76.8226531106
41,ZONA 5,UNION LIBRE,GUAYAS,2014-02-06T00:00:00,SIMON_BOLIVAR,2015-12-02T20:00:00,SIMON BOLIVAR,ECUADOR,Homicidios,108,JUJAN SIMON BOLIVAR,MASCULINO,-2.1188507567,-79.6106482792
39,ZONA 5,UNION LIBRE,GUAYAS,2014-03-06T00:00:00,EL_TRIUNFO,2015-12-02T21:30:00,EL TRIUNFO CENTRO,ECUADOR,Asesinatos,109,EL TRIUNFO BUCAY,MASCULINO,-1.9806309793,-79.8458072441
35,ZONA 8,DIVORCIADO,GUAYAS,2014-04-06T00:00:00,GUAYAQUIL,2015-12-02T21:30:00,VENEZUELA,ECUADOR,Asesinatos,110,9 DE OCTUBRE,MASCULINO,-2.1331692645,-79.5233234951
51,ZONA 4,CASADO,SANTO_DOMINGO_DE_LOS_TSACHILAS,2014-03-06T00:00:00,SANTO_DOMINGO,2015-12-02T11:30:00,VALLE HERMOSO,ECUADOR,Asesinatos,111,SANTO DOMINGO OESTE,MASCULINO,-0.2379345098,-79.1860138511
15,ZONA 6,SOLTERO,AZUAY,2014-04-06T00:00:00,CAMILO_PONCE_ENRIQUEZ,2015-12-02T17:20:00,CAMILO PONCE ENRIQUEZ,ECUADOR,Asesinatos,112,PONCE ENRIQUEZ,MASCULINO,-3.0541197091,-79.7814255813
21,ZONA 5,SOLTERO,LOS_RIOS,2014-05-06T00:00:00,BABAHOYO,2015-12-02T19:45:00,PIMOCHA,ECUADOR,Asesinatos,113,BABAHOYO,MASCULINO,-1.8032452163,-79.542467704
28,ZONA 8,CASADO,GUAYAS,2014-06-06T00:00:00,GUAYAQUIL,2015-12-02T04:00:00,ESTEROS,ECUADOR,Femicidios,114,ESTEROS,FEMENINO,-2.6340523304,-80.3864132441
26,ZONA 8,SOLTERO,GUAYAS,2014-06-06T00:00:00,GUAYAQUIL,2015-12-02T23:30:00,TRINITARIA NORTE,ECUADOR,Asesinatos,115,ESTEROS,MASCULINO,-2.6324595286,-80.2790700958
29,ZONA 8,SOLTERO,GUAYAS,2014-07-06T00:00:00,GUAYAQUIL,2015-12-02T00:15:00,MAPASINGUE,ECUADOR,Asesinatos,116,FLORIDA,MASCULINO,0.3736680349,-78.2036385366
24,ZONA 1,SOLTERO,ESMERALDAS,2014-07-06T00:00:00,QUININDE,2015-12-02T21:00:00,ROSA ZARATE,ECUADOR,Asesinatos,117,QUININDE,MASCULINO,0.3201482993,-79.3454342437
42,ZONA 8,CASADO,GUAYAS,2014-07-06T00:00:00,GUAYAQUIL,2015-12-02T16:30:00,GUASMO,ECUADOR,Asesinatos,118,SUR,MASCULINO,0.3749618423,-78.0373839943
72,ZONA 8,SOLTERO,GUAYAS,2014-04-06T00:00:00,DURAN,2015-12-02T00:00:00,ARBOLITO,ECUADOR,Asesinatos,119,DURAN,MASCULINO,-2.1606985717,-79.8354428202
36,ZONA 8,SOLTERO,GUAYAS,2014-08-06T00:00:00,GUAYAQUIL,2015-12-02T06:00:00,SAUCES,ECUADOR,Asesinatos,120,MODELO,FEMENINO,-2.1770660032,-78.8877339764
